Experiment_ID,Protein_Name,Representative.UniProt_ID,Protein_description,Mascot_Score,SSM,UPM,SSM_used_for_quantification,Vehicle_control_.n.1.,Vehicle_control_.n.2.,Binding_of_NBF_to_fresh_beads_.n.1.,Binding_of_NBF_to_fresh_beads_.n.2.,Compound_competition.40_µM_,Compound_competition_.13.33_µM,Compound_competition_4.44_µM,Compound_competition_1.48_µM,Compound_competition_0.49_µM,Compound_competition_0.16_µM,Hill,IC50,MS1_intensity,Kdapp,ProteinType
X031298,PMPCA,Q10713,Mitochondrial-processing peptidase subunit alpha,323,12,7,7,1,1.004387,1.149352,1.025637,0.202003,0.248819,0.305739,0.449006,0.624377,0.774084,0.85,0.54,7.3367,0.54,Q
X031298,AUH,Q13825,"Methylglutaconyl-CoA hydratase, mitochondrial",150,6,3,3,1,0.936504,1.095356,0.981654,0.281461,0.34691,0.511173,0.63045,0.730721,0.807993,0.6,1.6,7.3077,1.6,Q
X031298,SSBP1,Q04837,"Single-stranded DNA-binding protein, mitochondrial",231,8,4,5,1,0.940859,0.95775,0.900392,0.59071,0.616646,0.700603,0.724199,0.787205,0.812126,1,12,8.0792,11.4832535885,Q
X031298,NIPSNAP1,Q9BPW8,Protein NipSnap homolog 1,430,30,9,20,1,1.082725,1.08621,1.03585,0.541353,0.758539,1.017108,0.854137,1.001946,1.028884,1.21,31,8.4887,31,Q
X031298,NIPSNAP2,O75323,Protein NipSnap homolog 2,434,30,8,10,1,1.030092,1.055953,1.030632,0.567864,0.765805,1.017848,0.85605,0.953487,0.981975,1.08,35,8177,35,O
X031298,Septin-2,Q15019,Septin-2,219,6,4,4,1,0.757041,1.148161,1.112642,0.753029,1.117779,0.991822,1.10082,1.031808,0.747021,1,40,6.8886,0,Q
X031298,Septin-7,Q16181,Septin-7,295,12,5,5,1,0.907387,1.485172,1.269389,0.957733,1.236892,1.113324,1.326881,1.043958,0.985521,0,40,7.1034,0,Q
X031298,Septin-9,Q9UHD8,Septin-9,478,14,8,8,1,0.828391,1.363844,1.232124,0.936781,1.235379,1.142706,1.441231,1.104271,0.864729,1,40,7.2125,0,Q
X031298,Septin-11,Q9NVA2,Septin-11,162,4,3,3,1,0.822747,1.20636,1.070792,0.976657,1.094705,0.982044,1.170971,0.926332,0.865436,0,40,6.4922,0,Q
X031298,AAAS,Q9NRG9,Aladin,102,3,3,3,1,0.854617,1.195768,1.214719,1.062494,1.179597,1.054119,0.925074,1.067217,1.040614,0,40,6.3313,0,Q
X031298,AAGAB,Q6PD74,Alpha- and gamma-adaptin-binding protein p34,124,3,3,3,1,0.783246,0.91008,0.987534,0.825039,0.86933,0.855544,0.971449,0.788311,0.943949,0.7,40,6.6238,0,Q
X031298,AARS2,Q5JTZ9,"Alanine--tRNA ligase, mitochondrial",148,3,3,3,1,0.942906,1.142157,1.061479,0.93743,0.902712,0.905317,0.957122,0.914102,0.973769,1,40,6.1872,0,Q
X031298,ABCC1,P33527,Multidrug resistance-associated protein 1,293,10,5,5,1,1.021024,1.219719,1.227629,1.040641,0.985004,1.120671,1.078246,1.079141,1.113823,1,40,6594,0,P
X031298,ABCD3,P28288,ATP-binding cassette sub-family D member 3,205,9,4,4,1,1.028777,1.239015,1.057544,1085,1.087559,0.978552,0.961697,0.976437,0.997543,1,40,6.7703,0,P
X031298,ABCE1,P61221,ATP-binding cassette sub-family E member 1,410,17,7,7,1,0.931397,1.496406,1.280264,0.969815,1.176414,1.165841,1.472716,1.093871,0.952587,2.15,40,7.0237,0,P
X031298,ABCF2,Q9UG63,ATP-binding cassette sub-family F member 2,955,31,14,15,1,0.958526,1.159183,1.052457,1.067105,0.927538,0.930391,0.930083,0.979616,0.986049,0.64,40,7.5994,0,Q
X031298,ABCF3,Q9NUQ8,ATP-binding cassette sub-family F member 3,140,7,3,3,1,0.825579,1.156091,1.022523,0.796841,0.889498,0.809583,0.978654,0.958985,0.938684,0.54,40,6.7082,0,Q
X031298,ABHD10,Q9NUJ1,"Mycophenolic acid acyl-glucuronide esterase, mitochondrial",213,8,5,5,1,0.731856,1.296332,1.137158,0.749514,1.066178,0.900063,1.295956,0.995075,0.73139,0,40,7.0379,0,Q
X031298,ACACA,Q13085,Acetyl-CoA carboxylase 1,1383,39,23,23,1,1.06325,1.216319,1.114949,1.080026,1.025573,1.037129,0.996461,1.050866,1.089849,1,40,7.2348,0,Q
X031298,ACAD10,Q6JQN1,Acyl-CoA dehydrogenase family member 10,72,4,2,2,1,1.271737,1.001555,1.120209,1.292221,1.410602,1.351871,1.157435,1.439725,1.394446,0,40,5.9129,0,Q
X031298,ACAD8,Q9UKU7,"Isobutyryl-CoA dehydrogenase, mitochondrial",406,9,6,6,1,0.93311,0.956489,0.957001,1.103947,0.931368,1.006428,0.929818,0.975661,0.929482,1,40,7.3319,0,Q
X031298,ACAD9,Q9H845,"Acyl-CoA dehydrogenase family member 9, mitochondrial",371,10,6,6,1,0.979647,1.237801,1.060133,0.992786,1.00877,0.968954,1.026165,1.028687,1.007859,1,40,6.8447,0,Q
X031298,ACADM,P11310,"Medium-chain specific acyl-CoA dehydrogenase, mitochondrial",154,5,3,3,1,0.93536,1.177017,1.045771,1.025898,1.03032,0.91938,1.057129,1.011451,0.996832,0.59,40,6.5925,0,P
X031298,ACADS,P16219,"Short-chain specific acyl-CoA dehydrogenase, mitochondrial",87,3,2,2,1,1.153726,1.182643,1.167351,1.004804,1.289636,1.142683,1.129843,1.03529,1.029673,0,40,6.5136,0,P
X031298,ACADSB,P45954,"Short/branched chain specific acyl-CoA dehydrogenase, mitochondrial",471,14,9,9,1,0.991467,1.060488,1.02412,1.021321,0.965853,0.987295,0.935455,0.957388,1.001658,0,40,7.6441,0,P
X031298,ACADVL,P49748,"Very long-chain specific acyl-CoA dehydrogenase, mitochondrial",551,12,9,9,1,0.984769,1.321947,1.139189,0.923093,1.061782,1.005566,1.189402,1.028137,0.877723,1,40,7035,0,P
X031298,ACAP2,Q15057,"Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 2",489,12,6,6,1,1.038788,1.184575,1.150116,1.067847,0.971019,1.030511,0.939889,1.034149,1.036802,0,40,6632,0,Q
X031298,ACBD5,Q5T8D3,Acyl-CoA-binding domain-containing protein 5,383,13,6,6,1,1.055409,1.148597,1.112539,1.120534,1.042806,1.136356,0.9514,0.964697,1.023496,0,40,7.1081,0,Q
X031298,ACLY,P53396,ATP-citrate synthase,654,21,11,11,1,0.77046,1.40627,1.216806,0.7874,1.19614,1.000045,1.403174,1.074596,0.813437,0,40,7.2349,0,P
X031298,ACOT9,Q9Y305,"Acyl-coenzyme A thioesterase 9, mitochondrial",370,14,5,6,1,0.873293,1.126652,0.983299,0.895126,0.794057,0.870865,0.789398,0.846121,0.912959,1,40,7.5025,0,Q
X031298,ACOX1,Q15067,Peroxisomal acyl-coenzyme A oxidase 1,796,29,13,19,1,1.119462,1.171252,1.110043,1.083363,1.02125,1.256819,1.008671,1.090694,1.090196,0,40,8.0815,0,Q
X031298,ACP1,P24666,Low molecular weight phosphotyrosine protein phosphatase,118,4,3,3,1,1.019899,1.191247,1.186447,0.961377,0.969374,1.089549,0.964243,1.015593,1.014419,1,40,7166,0,P
X031298,ACSF3,Q4G176,"Acyl-CoA synthetase family member 3, mitochondrial",85,6,2,2,1,1.060983,1.181949,0.99965,0.911698,1.05911,0.884661,0.853899,1.125143,1.014944,0,40,6.4796,0,Q
X031298,ACSL3,O95573,Long-chain-fatty-acid--CoA ligase 3,167,4,3,3,1,0.744784,1.147758,1.205683,0.780175,0.964678,1.04076,1.09592,0.89228,0.842533,2.2,40,6.4711,0,O
X031298,ACSL5,Q9ULC5,Long-chain-fatty-acid--CoA ligase 5,527,17,9,9,1,0.95405,1.151544,1.105782,1.046339,0.989214,1.020276,1.022221,1.049416,1.082106,0,40,7.1876,0,Q
X031298,ACTL6A,O96019,Actin-like protein 6A,254,8,4,4,1,0.971109,1.139193,0.99302,1.073595,1.009925,0.969833,0.934072,0.962497,0.874142,0,40,6798,0,O
X031298,ACTN1,P12814,Alpha-actinin-1,553,12,8,8,1,0.917767,1.234475,1.08494,1.018863,0.997349,0.929906,1.010301,1.00039,0.971813,0,40,7.1969,0,P
X031298,ACTN4,O43707,Alpha-actinin-4,1645,49,20,21,1,0.897986,1.164784,1.086345,0.902553,0.870542,0.87313,1.023638,0.886976,0.878932,1,40,7.6781,0,O
X031298,ACTR1A,P61163,Alpha-centractin,327,14,2,2,1,1.000681,1.283447,1.255045,1.085897,1.085135,1.080953,1.103401,1.070414,1.095961,0,40,7.1307,0,P
X031298,ACTR2,P61160,Actin-related protein 2,357,13,9,10,1,0.878687,1.248779,1.123097,0.967176,1.045974,0.977445,1.137229,1.031619,0.970636,0,40,7.4202,0,P
X031298,ADAR,P55265,Double-stranded RNA-specific adenosine deaminase,796,35,13,13,1,0.972417,1.239495,1.156404,1.03544,1.022039,0.995577,1.040827,1.025559,1.032795,0,40,7.3337,0,P
X031298,ADD1,P35611,Alpha-adducin,205,6,3,3,1,0.997156,1.250098,1.029348,0.915205,0.944836,0.987231,1.059653,1.000225,1.064931,1,40,6.6084,0,P
X031298,ADK,P55263,Adenosine kinase,227,7,4,4,1,0.866441,1.153714,1.155152,0.769665,1.065187,1.021454,1.129772,0.922279,0.805781,1,40,6.9433,0,P
X031298,ADNP,Q9H2P0,Activity-dependent neuroprotector homeobox protein,199,6,3,3,1,1.024729,1.209176,1.120051,1.035268,1.034684,0.969597,1.119401,1.078217,1.028534,1,40,6.4392,0,Q
X031298,AFG3L2,Q9Y4W6,AFG3-like protein 2,987,36,19,19,1,0.966457,1.176769,1.063501,0.989307,0.933529,0.969155,1.015447,0.930138,1.042859,0,40,7.4639,0,Q
X031298,AGK,Q53H12,"Acylglycerol kinase, mitochondrial",189,7,3,3,1,1.004964,1.223061,1.009122,1.016768,1.003966,1.003368,0.986265,1039,1.016435,0,40,6.9613,0,Q
X031298,AGL,P35573,Glycogen debranching enzyme,2057,62,45,47,1,1.033127,1.070589,1.041581,1.086407,0.965264,1.051837,0.889824,0.902522,0.954538,0,40,7.8038,0,P
X031298,AGPAT2,O15120,1-acyl-sn-glycerol-3-phosphate acyltransferase beta,51,2,2,2,1,1.144574,1.533035,1.324346,1.171381,1.198874,1.181724,1.107084,1.198843,1.205034,0,40,6.5519,0,O
X031298,AGPS,O00116,"Alkyldihydroxyacetonephosphate synthase, peroxisomal",668,22,8,8,1,0.993547,1.146084,1.103579,1.149478,1.004537,0.979273,0.948721,1.025232,1.086035,0,40,7.4475,0,O
X031298,AHCTF1,Q8WYP5,Protein ELYS,314,14,5,5,1,1.210486,1.261897,1.241803,1.180175,1.273022,0.96958,1.024542,1.242255,1.301741,1,40,6.4825,0,Q
X031298,AHNAK,Q09666,Neuroblast differentiation-associated protein AHNAK,2662,82,34,35,1,0.928429,1.187004,1.16523,1.00674,1.1043,1.055459,1.160828,1.013583,0.890442,0,40,7.2415,0,Q
