Experiment ID,Analysisrun,Protein,Compound,Temperature,SSM,UPM,MS1 intensity,vehicle,0.4,2.0,10,50,pEC50(T)
X034781,AR00001007,DCK_20_260,Solanocapsine,42.1C,3,3,7.4058,1,1.13,1.19,1.34,1.38,NA
X034781,AR00001007,DCK_20_260,Solanocapsine,44.1C,3,3,7.4058,1,1.15,1.26,1.56,1.7,5.57
X034782,AR00001007,DCK_20_260,Solanocapsine,46.2C,8,8,7.2467,1,1.03,1.36,1.75,2.07,5.39
X034782,AR00001007,DCK_20_260,Solanocapsine,48.1C,8,8,7.2467,1,1.15,1.42,2.38,3.05,5.26
X034783,AR00001007,DCK_20_260,Solanocapsine,50.4C,3,3,7.0306,1,1.2,1.93,4.09,6.74,5.0999999999999996
X034783,AR00001007,DCK_20_260,Solanocapsine,51.9C,3,3,7.0306,1,1.17,1.67,3.76,8.47,4.91
X034784,AR00001007,DCK_20_260,Solanocapsine,54C,3,3,6.8365,1,1.08,1.69,4.25,9.11,4.93
X034784,AR00001007,DCK_20_260,Solanocapsine,56.1C,3,3,6.8365,1,1.19,1.25,4.09,8.05,4.96
X034785,AR00001007,DCK_20_260,Solanocapsine,58.2C,1,1,6.8645,1,1.29,2.38,2.75,3.02,5.89
X034785,AR00001007,DCK_20_260,Solanocapsine,60.1C,1,1,6.8645,1,1.5,0.93,1.84,2.41,4.95
X034786,AR00001007,DCK_20_260,Solanocapsine,62.4C,2,2,6.36,1,0.25,2.68,1.36,1.4,NA
X034786,AR00001007,DCK_20_260,Solanocapsine,63.9C,2,2,6.36,1,0.61,0.43,0.82,1.01,NA
X035531,AR00001158,DCK_20_260,NorAdS,42.1C,4,4,6.9431,1,1.22,1.25,1.19,1.23,NA
X035531,AR00001158,DCK_20_260,NorAdS,44.1C,4,4,6.9431,1,1.37,1.42,1.42,1.36,NA
X035532,AR00001158,DCK_20_260,NorAdS,46.2C,6,6,6.9256,1,1.61,1.57,1.57,1.63,6.75
X035532,AR00001158,DCK_20_260,NorAdS,48.1C,6,6,6.9256,1,1.88,1.91,2,1.81,6.75
X035533,AR00001158,DCK_20_260,NorAdS,50.4C,3,3,6.5205,1,3,3.2,3.22,3.45,6.75
X035533,AR00001158,DCK_20_260,NorAdS,51.9C,3,3,6.5205,1,2.65,2.79,2.35,2.33,6.75
X035534,AR00001158,DCK_20_260,NorAdS,54C,3,3,6.5777,1,1.87,2.49,2.1,2.34,6.45
X035534,AR00001158,DCK_20_260,NorAdS,56.1C,3,3,6.5777,1,1.68,2.06,1.53,1.89,6.45
X035535,AR00001158,DCK_20_260,NorAdS,58.2C,2,2,6.2763,1,1.33,1.38,1.37,1.32,NA
X035535,AR00001158,DCK_20_260,NorAdS,60.1C,2,2,6.2763,1,1.46,1.43,0.51,1.34,NA
X035536,AR00001158,DCK_20_260,NorAdS,62.4C,3,3,6.0274,1,1.33,1.36,1.1,1.36,NA
X035536,AR00001158,DCK_20_260,NorAdS,63.9C,3,3,6.0274,1,0.92,1.38,0.21,1.38,NA
